Week 1,Exercise,Link,Warm-up Sets,Working Sets,Reps,Load,RPE,Rest,Sub 1,Sub 1 Link,Sub 2,Sub Link 2,Notes,%1RM
,Barbell bench press,,0,3,6,,N/A,2-3 min,,,,,"Set up a comfortable arch, slight pause on the chest, explode up",77.5%
,Chin-up,youtu.be/-d2Uui6MtRk,1,3,8-10,,8,2-3 min,,,,,"Underhand grip, pull your chest to the bar, add weight if needed to hit RPE",N/A
,Standing arnold dumbbell press,youtu.be/zOpA1Op0zvc,1,2,10-12,,9,1-2 min,,,,,Rotate the DBs in at the bottom and out at the top,N/A
,Chest-supported dumbbell row,youtu.be/bsx8PIGIuaI,1,2,12-15,,9,1-2 min,,,,,Lie on an incline bench and do rows - pull with lats!,N/A
,Face pull,,0,2,15-20,,9,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull",N/A
,Dumbbell lateral raise,,0,2,15-20,,10,1-2 min,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers",N/A
,Concentration bicep curl,youtu.be/kr4LtmKn9EE,0,3,12-15,,9,1-2 min,,,,,Pin your elbow against your upper leg or the back of a bench,N/A
Lower #2,Back squat,,4,3,6,,N/A,3-4 min,,,,,"Sit back and down, keep your upper back tight to the bar",75%
,Good morning,www.youtube.com/watch?v=f23vXjoG2e8,2,2,10-12,,7,2-3 min,,,,,"Same as squat stance, keep shins straight, go lighter and ""feel"" hamstrings",N/A
,Leg extension,www.youtube.com/watch?v=ljO4jkwv8wQ,1,3,12-15,,9,1-2 min,,,,,"Use bands if no machine access, mind-muscle connection with quads",N/A
,Standing calf raise ,,0,3,15-20,,9,1-2 min,,,,,Emphasize the mind-muscle connection,N/A
,Hip abduction,,0,3,15-20,,9,1-2 min,,,,,"Point toes slightly outward, mind-muscle connection with glutes",N/A
,V sit-up,youtu.be/h-kVpuNoGaA,0,3,12-15,,9,1-2 min,,,,,Think about squeezing your upper and lower abs together,N/A
Upper #2,Overhead press,,3,3,4,,N/A,3-4 min,,,,,"Squeeze your glutes to keep your torso upright, press up and slightly back",80%
,Single-arm lat pulldown,youtu.be/tQ2LSSP_0GQ?t=437,1,2,10-12,,9,2-3 min,,,,,"Perform with bands if no lat pulldown, drive elbows down and in",N/A
,Close-grip bench press,youtu.be/xGfUcV11x5g,2,2,12,,7,2-3 min,,,,,"Shoulder width grip, tuck your elbows in closer to your torso",N/A
,Pendlay row,,1,2,10,,7,1-2 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating",N/A
,Pec flye,www.youtube.com/watch?v=-EIhKMDSjBY,0,2,15-20,,9,1-2 min,,,,,"Perform with cable, bands or dumbbells, use a full ROM",N/A
,A1. Incline shrug,youtu.be/HsdwUZtGG_0,1,2,15-20,,9,30sec,,,,,Lie face down against an incline bench and do shrugs - full ROM and squeeze!,N/A
,A2. Upright row,www.youtube.com/watch?v=nwkLwMRHMQo,1,2,15-20,,9,30sec,,,,,"Can use cables/rope, bands or dumbbells. Stop ROM once elbows reach shoulder height.",N/A
,Barbell skull crusher,www.youtube.com/watch?v=popGXI-qs98,1,2,8-10,,8,1-2 min,,,,,"Do these on a bench, constant tension on triceps",N/A
Lower #3,"5"" block pull",youtu.be/qOH1ZqkW-hw,4,2,4,,8,4-5 min,,,,,"Do block pulls from a 5"" block (can stack 45lb + 10lb bumper plates as blocks)",N/A
,Bulgarian split squat,youtu.be/htDXu61MPio,1,2,12,,7,2-3 min,,,,,"12 reps each leg, keep your torso upright, constant-tension on quads",N/A
,Hip thrust,www.youtube.com/watch?v=xDmFkJxPzeM,1,2,8-10,,7,1-2 min,,,,,"Do barbell hip thrusts if no machine, use glutes to move the weight",N/A
,Seated calf raise ,youtu.be/-qsRtp_PbVM?t=311,0,3,15-20,,9,1-2 min,,,,,"Do standing if no machine, emphasize the mind-muscle connection",N/A
,Hanging leg raise,,0,3,10-12,,8,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty",N/A
,Neck flexion/extension,,1,3,12/12,,8,1-2 min,,,,,"12 reps flexion (front of neck), 12 reps extension (back of neck)",N/A
Upper #3,"""Flat-back"" barbell bench press",youtu.be/YUrlUUI1iBo,3,3,10,,7,2-3 min,,,,,Shoulder blades still retracted and depressed. Slight arch in upper back. Minimize leg drive.,N/A
,Eccentric-accentuated pull-up,www.youtube.com/watch?v=Hdc7Mw6BIEE,1,2,AMRAP,,10,2-3 min,,,,,"3 second negative on every rep, maintain controlled form for all reps",N/A
,Weighted dip,,2,2,10,,8,2-3 min,,,,,Do dumbbell floor press if no access to dip handles,N/A
,Single-arm row,www.youtube.com/watch?v=djKXLt7kv7Q,1,2,10-12,,9,2-3 min,,,,,"Can use cables, bands or dumbbells - feel your lats working!",N/A
,EZ bar curl,www.youtube.com/watch?v=i1YgFZB6alI&t,1,3,12-15,,9,1-2 min,,,,,Focus on the mind-muscle connection,N/A
,Lean-away lateral raise,youtu.be/0VvQ6olHi4I,0,2,30,,10,1-2 min,,,,,"Use a light dumbbell, constant-tension, no pause at the bottom",N/A
,Bicycle crunch,,0,2,10-12,,9,1-2 min,,,,,Keep your hands behind your ears,N/A
SUGGESTED REST DAY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Week 3,Exercise,,Warm-up Sets,Working Sets,Reps,,RPE,Rest,,,,,Notes,%1RM
"Full Body 1: Squat, OHP",Back squat,,4,1,8,,8.5,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Push it!,72.5-77.5%
,Back squat,,0,2,6,,N/A,3-4 min,,,,,Keep back angle and form consistent across all reps,75%
,Overhead press,,2,3,8,,N/A,2-3 min,,,,,Reset each rep (don't touch-and-press),72.5%
,Glute Ham Raise,,1,2,8-10,,7,1-2 min,,,,,"Keep your hips straight, do nordic ham curls if no GHR machine",N/A
,Helms row,,1,3,12-15,,9,1-2 min,,,,,Strict form. Drive elbows out and back at 45 degree angle,N/A
,Hammer curl,,0,3,20-25,,10,1-2 min,,,,,"Keep elbows locked in place, squeeze the dumbbell handle hard!",N/A
"Full Body 2: Deadlift, Bench Press",Deadlift,,4,4,2,,N/A,3-5 min,,,,,Conventional or sumo: use whatever stance you are stronger with,85%
,Barbell bench press,,3,1,6,,8.5,4-5 min,,,,,Top set. Leave 1 (maybe 2) reps in the tank. Push it!,75-80%
,Barbell bench press,,0,2,8,,N/A,2-3 min,,,,,Quick 1 second pause on the chest on each rep,72.5%
,Hip abduction,,0,2,15-20,,9,1-2 min,,,,,"Machine, band or weighted, 1 second isometric hold at the top of each rep",N/A
,Weighted pull-up,,1,3,5-8,,8,3-4 min,,,,,"1.5x shoulder width grip, pull your chest to the bar",N/A
,Standing calf raise,,1,3,8,,9,2-3 min,,,,,"1-2 second pause at the bottom of each rep, full ROM",N/A
SUGGESTED REST DAY,,,,,,,,,,,,,,
"Full Body 3: Squat, Dip",Back squat,,4,4,4,,N/A,3-4 min,,,,,Maintain tight pressure in your upper back against the bar ,80%
,Weighted dip,,2,3,8,,8,2-3 min,,,,,Do dumbbell floor press if no access to dip handles,N/A
,Hanging leg raise,,0,3,10-12,,9,1-2 min,,,,,"Knees to chest, controlled reps, straighten legs more to increase difficulty",N/A
,Lat pull-over,,1,3,12-15,,8,1-2 min,,,,,"Can use a DB, cable/rope or band, stretch and squeeze lats!",N/A
,Incline dumbbell curl,,1,2,12-15,,9,1-2 min,,,,,"Do each arm one at a time rather than alternating, start with your weak arm",N/A
,Face pull,,0,4,15-20,,9,1-2 min,,,,,"Can use cable/rope or band, retract your shoulder blades as you pull",N/A
"Full Body 4: Deadlift, Bench Press",Pause deadlift,,4,4,2,,N/A,3-4 min,,,,,3 second pause right after the plates come off the ground,77.5%
,Pause barbell bench press,,3,4,5,,N/A,2-3 min,,,,,2-3 second pause on the chest,75%
,Pendlay row,,1,3,10,,7,2-3 min,,,,,"Be mindful of lower back fatigue. Stay light, minimize cheating",N/A
,Nordic ham curl,,0,2,6-8,,8,1-2 min,,,,,"See video demos page in the program pdf, can sub for lying leg curl",N/A
,Dumbbell shrug,,0,3,20-25,,9,1-2 min,,,,,"Feel a stretch on the traps at the bottom, squeeze hard at the top",N/A
Full Body 5: Arm & Pump Day,EZ bar curl,,1,3,12,,8,30sec,,,,,Curl the bar out and up in an arc. Minimize momentum.,N/A
,A2. Floor skull crusher,,1,3,12,,8,30sec,,,,,"Arc the bar back behind your head, soft touch on the floor behind you",N/A
,B1. Incline dumbbell curl (reverse 21's),,0,3,21,,10,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps top 1/2, 7 reps bottom 1/2",N/A
,B2. Triceps pressdown (reverse 21's),,0,3,21,,10,30sec,,,,,"Do both arms at once: 7 reps full ROM, 7 reps bottom 1/2, 7 reps top 1/2",N/A
,C1. Dumbbell lateral raise,,0,3,20,,9,30sec,,,,,"Arc the dumbbell out, mind-muscle connection with middle fibers",N/A
,C2. Band pull-apart,,0,3,20,,9,30sec,,,,,Mind-muscle connection with rear delts,N/A
,C3. Standing calf raise,,0,3,12,,9,30sec,,,,,"1-2 second pause at the bottom of each rep, full squeeze at the top",N/A
,C4. Bicycle crunch,,0,3,15,,9,30sec,,,,,Focus on rounding your back as you crunch hard!,N/A
,Neck flexion/extension,,1,3,15/15,,8,1-2 min,,,,,Avoid yanking the plate with your hands,N/A
